PUBCHEM_SID,PUBCHEM_CID,SMILES_ISO,PUBCHEM_ACTIVITY_OUTCOME,Phenotype (0-10 = Low Permeability; 10-100 = Moderate Permeability; >100 = High Permeability),Permeability,Compound QC
124877225,24867565,C[C@@H]1C[C@@H](C(NC1)[C@H](C)C2=C(C3=C(C=C2)[C@@H]4CC=C5C[C@H](CC[C@@]5([C@@H]4C3)C)O)C)O,Inconclusive,N/F,N/F,QC'ed NCATS
124877459,193613,C1=CC=C(C=C1)CSC[C@@H](C(=O)O)N,Inconclusive,N/F,N/F,QC'ed NCATS
124877612,3246218,C1=NC(=C2C(=N1)N(C=N2)[C@H]3[C@H]([C@H]([C@@H](O3)CO)O)O)NCCO,Inactive,Low,1,QC'ed NCATS
124877741,3246272,C[N+]1([C@H]2CC[C@H]1CC(C2)OC(=O)[C@@H](CO)C3=CC=CC=C3)[O-],Inconclusive,N/F,N/F,QC'ed NCATS
124877816,256519,CC1(C=CC2=C3C(=C(C(=C2O1)CCC(=O)O)OC)C=CC(O3)(C)C)C,Active,Moderate,43.9,QC'ed NCATS
124878032,92180,CC(=CCNC1=NC=NC2=C1NC=N2)C,Active,Moderate,54.15,QC'ed NCATS
124878062,269325,CC1=NC(=NC2=CC=CC=C12)N,Active,Moderate,69.7,QC'ed NCATS
124878187,3246430,C1=NC(=C2C(=N1)N(C=N2)[C@@H]3[C@@H]([C@@H]([C@@H](O3)CO)O)N)N,Inactive,Low,2.99,QC'ed NCATS
124878325,284708,C1=CNC(=C1)C(=O)C2=C(C=CC(=C2)Cl)NC(=O)CN,Active,High,>1000,QC'ed NCATS
124878343,3246481,C[C@@H](CCC[C@H]1[C@@H]2[C@@H](CS1)NC(=O)N2)C(=O)O,Inconclusive,N/F,N/F,QC'ed NCATS
124878494,3246541,CN1CCC2=CC(=C3C4=C2[C@H]1CC5=CC=C(C=C5)OC6=C(C=CC(=C6)C[C@H]7C8=CC(=C(O3)C=C8CCN7)O4)OC)OC,Active,High,217.23,QC'ed NCATS
124878556,67532,C1=C(C=C(C(=C1Br)O)Br)C[C@@H](C(=O)O)N,Inactive,Low,3.64,QC'ed NCATS
124879938,5281708,C1=CC(=CC=C1C2=COC3=C(C2=O)C=CC(=C3)O)O,Inactive,Low,1,QC'ed NCATS
124880005,9363,CCN(CC)C(=O)C1=CC(=C(C=C1)O)OC,Active,High,481.96,QC'ed NCATS
144203688,53708,CC1=C(NC(=O)N1)C(=O)C2=CC=C(C=C2)SC,Active,Moderate,28.72,QC'ed NCATS
124880090,3343,CC(CC1=CC=C(C=C1)O)NCC(C2=CC(=CC(=C2)O)O)O,Inactive,Low,1.9,QC'ed NCATS
174006272,53276,CCOC(=O)NC1=C(N=C(C=C1)NCC2=CC=C(C=C2)F)N,Active,Moderate,68.33,QC'ed NCATS
124880226,5034,C1=CC2=C(C=C1I)C(=CC3=CC(=C(C(=C3)Br)O)Br)C(=O)N2,Active,High,150.28,QC'ed NCATS
162108258,5280961,C1=CC(=CC=C1C2=COC3=CC(=CC(=C3C2=O)O)O)O,Inconclusive,N/F,N/F,QC'ed NCATS
174007199,3825,CC(C1=CC(=CC=C1)C(=O)C2=CC=CC=C2)C(=O)O,Inactive,Low,1.46,QC'ed NCATS
124880867,262093,C1=CC=C2C(=C1)C(=O)C(=C(C2=O)SCCO)SCCO,Active,High,107.82,QC'ed NCATS
384567886,4477,C1=CC(=C(C=C1[N+](=O)[O-])Cl)NC(=O)C2=C(C=CC(=C2)Cl)O,Inconclusive,N/F,N/F,QC'ed NCATS
124881727,5353685,COC1=C(C(=CC(=C1)/C=C(\C#N)/C(=O)C2=CC(=C(C=C2)O)O)I)O,Inactive,Low,1,QC'ed NCATS
124882297,5280445,C1=CC(=C(C=C1C2=CC(=O)C3=C(C=C(C=C3O2)O)O)O)O,Active,High,120.05,QC'ed NCATS
174007187,4030,COC(=O)NC1=NC2=C(N1)C=C(C=C2)C(=O)C3=CC=CC=C3,Active,High,281.8,QC'ed NCATS
124882688,180081,C[C@@]12C3=CC=CC=C3C[C@@H](N1)C4=CC=CC=C24,Active,High,>1000,QC'ed NCATS
174007367,24360,CC[C@@]1(C2=C(COC1=O)C(=O)N3CC4=CC5=CC=CC=C5N=C4C3=C2)O,Active,Moderate,68.31,QC'ed NCATS
174007335,4622,CCCOC1=CC2=C(C=C1)N=C(N2)NC(=O)OC,Inconclusive,N/F,N/F,QC'ed NCATS
363676526,123664,CC(C)CCNC(=O)[C@H](CC(C)C)NC(=O)[C@@H]1[C@H](O1)C(=O)O,Inactive,Low,1,QC'ed NCATS
170464684,9681,CC[C@@H](CO)NC(=O)[C@H]1CN([C@@H]2CC3=CN(C4=CC=CC(=C34)C2=C1)C)C,Active,High,396.08,QC'ed NCATS
170465705,10219,CC[C@H]1CN2CCC3=CC(=C(C=C3[C@@H]2C[C@@H]1C[C@@H]4C5=CC(=C(C=C5CCN4)OC)OC)OC)OC,Inconclusive,N/F,N/F,QC'ed NCATS
174006964,126941,CN(CC1=CN=C2C(=N1)C(=NC(=N2)N)N)C3=CC=C(C=C3)C(=O)N[C@@H](CCC(=O)O)C(=O)O,Inactive,Low,5.39,QC'ed NCATS
174007360,6167,CC(=O)N[C@H]1CCC2=CC(=C(C(=C2C3=CC=C(C(=O)C=C13)OC)OC)OC)OC,Inactive,Low,1.93,QC'ed NCATS
170466119,219050,C1CN(CC=C1C2=CC=CC=C2)CCCCC3=CNC4=C3C=C(C=C4)O,Active,High,>1000,QC'ed NCATS
29215052,6604934,CC1(C2=C(C3=CC=CC=C3C(=O)C2=O)NC1=O)C,Active,Moderate,12.46,QC'ed NCATS
851848,654450,C1=COC(=C1)CNC(=O)C2=NN3C(=CC(=NC3=N2)C4=CC=CS4)C(F)(F)F,Active,High,256.84,QC'ed NCATS
849279,651756,COC1=CC2=C(C=C1)NC(=O)C(=C2)C3=NOC(=N3)C4=CC=C(C=C4)F,Active,Moderate,63,QC'ed NCATS
3711120,2120761,C1CN(CCN1C2=CC=C(C=C2)O)C(=O)C3=CC4=CC=CC=C4C=C3,Active,High,526.69,QC'ed NCATS
3716014,2120852,C1COCCN1C2=C(C=C(C=C2)C(F)(F)F)NC(=O)C3=NNC(=O)C4=CC=CC=C43,Active,Moderate,53.47,QC'ed NCATS
3713333,804919,C1=CC=C(C=C1)C2=CSC(=N2)NC(=O)CCC(=O)O,Inactive,Low,1,QC'ed NCATS
3711815,699459,C1=CC=NC(=C1)S(=O)(=O)C2=CC=C(C=C2)Cl,Active,High,407.27,QC'ed NCATS
4242871,3237670,CCCCCN1C(=O)C2=C(C=C(C=C2)C(=O)NCCCN3CCCCC3)NC1=O,Active,Moderate,27.5,QC'ed NCATS
4244440,3239035,COC1=CC=C(C=C1)CN2C(=O)C3=C(C=C(C=C3)C(=O)NCCCN4CCCCC4)NC2=O,Active,Moderate,16.8,QC'ed NCATS
4248909,68261,C1CC2=NC3=CC=CC=C3C(=O)N2C1,Active,Moderate,44.23,QC'ed NCATS
4249454,3243406,CC1=C(N=C(O1)C2=CC=C(C=C2)OC)CS(=O)CC(=O)N3CCC4(CC3)OCCO4,Active,Moderate,91.69,QC'ed NCATS
4263674,1305820,CC1=C(C(=NO1)C2=CC=CC=C2)C(=O)NC3=NN=C(S3)COC4=CC=C(C=C4)Cl,Active,High,246.58,QC'ed NCATS
4264276,1245328,C1CCN(C1)C(=O)C2=CC=C(C=C2)NC(=O)C3=CC=CC=C3F,Active,High,139.01,QC'ed NCATS
4262483,2958396,C1OC2=C(O1)C=C(C=C2)C3NN4C(=NN=C4S3)C5=CC=CC=C5,Active,High,607.22,QC'ed NCATS
4265809,1246434,C1CCC(CC1)C2=NN=C(S2)NC(=O)C3=CC=C(S3)Br,Inconclusive,N/F,N/F,QC'ed NCATS
160844012,1079729,COC1=CC=CC(=C1O)CNC2=CC=C(C=C2)S(=O)(=O)NC3=NC=CS3,Active,Moderate,35.8,QC'ed NCATS
863408,664662,COC1=CC2=C(C=C1)NC(=O)C(=C2)C3=NOC(=N3)C4=CC=CC=C4,Active,High,759.89,QC'ed NCATS
124888780,41368,CC(C)(C)C(C(N1C=NC=N1)OC2=CC=C(C=C2)Cl)O,Inconclusive,N/F,N/F,QC'ed NCATS
4251330,3245031,COCCNC(=O)C1=CC=C(C=C1)CN2C(=O)C3=CC4=C(C=C3NC2=S)OCO4,Active,High,108.36,QC'ed NCATS
4242178,3237063,CC1=CC=CC=C1C2=NC(=C(O2)C)CN3CCC(CC3)C(=O)NCCCN4CCOCC4,Active,High,432.42,QC'ed NCATS
104222051,790407,C1=CC(=CN=C1)NC(=O)C2=CC=CS2,Active,Moderate,56.54,QC'ed NCATS
857789,6603237,CCCC1=C(C(=N)C2=CC=CC=C2N1C)CC.I,Inactive,Low,6.67,QC'ed NCATS
170466480,2159,CCN1CCCC1CNC(=O)C2=CC(=C(C=C2OC)N)S(=O)(=O)CC,Inactive,Low,1,QC'ed NCATS
24271784,3237082,CC1=CC=CC=C1NC(=O)NC2=CC=CS2,Active,High,105.65,QC'ed NCATS
174006343,2909,CCC1C(=O)N(CC(=O)N(C(C(=O)NC(C(=O)N(C(C(=O)NC(C(=O)NC(C(=O)N(C(C(=O)N(C(C(=O)N(C(C(=O)N(C(C(=O)N1)C(C(C)CC=CC)O)C)C(C)C)C)CC(C)C)C)CC(C)C)C)C)C)CC(C)C)C)C(C)C)CC(C)C)C)C,Inconclusive,N/F,N/F,QC'ed NCATS
124891675,5289419,COC1=CC\2=C(C=C1)NC(=O)/C2=C\C3=CN=CN3,Active,High,219.78,QC'ed NCATS
170466586,4059,CC1=CC=CC=C1OCC(CO)O,Active,Moderate,44.42,QC'ed NCATS
170466739,135398638,C1=NC2=C(N1)C(=O)NC=N2,Inactive,Low,1,QC'ed NCATS
24271998,1100832,C1=CC=C(C=C1)C2=NC3=CC(=NN3C(=C2)C(F)(F)F)C(=O)NC4=CC=CC(=C4)C(F)(F)F,Inconclusive,N/F,N/F,QC'ed NCATS
24272444,5721447,C1=CC=C2C(=C1)NC(=N2)/C(=C/C3=CC=C(O3)C4=CC=C(C=C4)C(=O)O)/C#N,Inconclusive,N/F,N/F,QC'ed NCATS
24273072,5175738,C1=CSC(=C1)C2=NC3=C(C(=C2)C(F)(F)F)C(=C(S3)C(=O)NC4=CC=C(C=C4)F)N,Inconclusive,N/F,N/F,QC'ed NCATS
24273085,15991160,C1=CC(=CC(=C1)Cl)C2=CC=C(O2)C(=O)NC3=CC4=C(C=C3)OC(=N4)C5=CN=CC=C5,Active,High,310.12,QC'ed NCATS
24273117,721046,CC1=CC=C(C=C1)N2C3=NC=NC(=C3C=N2)NC4=CC=CC(=C4)C(=O)O,Active,Moderate,13.19,QC'ed NCATS
377707994,699254,C1=CC=C(C(=C1)C(=O)NC2=CC3=C(C=C2)OC(=N3)C4=CC=NC=C4)Cl,Inconclusive,N/F,N/F,QC'ed NCATS
24274229,3697282,COC1=CC=C(C=C1)C2C=C(NC3=NC(=NN23)C4=CC=C(C=C4)Cl)C5=CC=C(C=C5)Cl,Inconclusive,N/F,N/F,QC'ed NCATS
24274235,3417885,C1=CC=C(C=C1)C2C=C(NC3=NC(=NN23)NS(=O)(=O)C4=CC=CC=C4)C5=CC=C(C=C5)Cl,Inactive,Low,9.09,QC'ed NCATS
24274428,6407314,CC(=O)NC1=CC=C(C=C1)NC2=NN=C(C3=CC=CC=C32)C4=CC=C(C=C4)OCC#C,Active,High,501.59,QC'ed NCATS
24274719,3571741,CC1=CC=C(C=C1)C2=NC3=C(C=C(C=C3)Br)C(=C2)C(=O)NCC4=CN(N=C4)C,Active,Moderate,24.2,QC'ed NCATS
24275023,2947897,CC1=NN=C(S1)N2C(C3=C(C2=O)OC4=CC=CC=C4C3=O)C5=CC=C(C=C5)F,Active,High,313.86,QC'ed NCATS
24275635,15991372,CC1=CC2=C(C=C1)OC3=C(C2=O)C(N(C3=O)CCCN(C)C)C4=CC=C(C=C4)O,Inactive,Low,1,QC'ed NCATS
24276087,2983992,C1=CC(=C(C=C1C#N)F)C(=O)NC2=CC(=C(C=C2)Cl)C3=NC4=C(O3)C=CC(=C4)Cl,Inactive,Low,1,QC'ed NCATS
24276115,2982228,CC1=CC2=C(C=C1)N=C(O2)C3=C(C=CC(=C3)NC(=O)C4=CC5=C(C=C4)OCCO5)Cl,Active,High,144.17,QC'ed NCATS
24276283,15991500,CC1=NC2=C(C(=NN2C(=C1)C3=CC=C(C=C3)OC)C)C4=CC(=C(C=C4)OC)OC,Inconclusive,N/F,N/F,QC'ed NCATS
24276730,15991524,COC1=C(C=C(C=C1)C2=NC3=CC=CC=C3S2)NC(=O)C4=CC=C(C=C4)F,Inconclusive,N/F,N/F,QC'ed NCATS
24268731,15988552,CC1(CC2=C(C=C(C(=O)N2C3=C(C=CC(=C3)OC)OC)C4=NC(=CS4)C5=CC=C(C=C5)Cl)C(=O)C1)C,Active,High,216.35,QC'ed NCATS
24270640,15990026,CC1=NN=C2N1C(=NC3=CC=CC=C32)N4CCN(CC4)C5=CC=CC=C5,Inconclusive,N/F,N/F,QC'ed NCATS
24270850,15990222,CC1=C(C(=O)N2C=CSC2=N1)S(=O)(=O)NC3=CC=C(C=C3)N4CCN(CC4)S(=O)(=O)C,Active,High,209.13,QC'ed NCATS
24271060,15990397,CN1C2=CC=CC=C2N=C(C1=O)C(=O)NC3=CC(=C(C(=C3)OC)OC)OC,Active,High,144.97,QC'ed NCATS
24271589,15990859,CCOC1=CC=C(C=C1)/C=C/C2=NC3=CC=CC=C3N2S(=O)(=O)C4=CC=C(C=C4)Br,Active,High,926.29,QC'ed NCATS
24271699,15990960,CC(C)C1=CC=C(C=C1)NC(=O)C2=CC=CC3=C2C(=O)N(C3)C4=CC=C(C=C4)OC,Inconclusive,N/F,N/F,QC'ed NCATS
24386250,2151568,COC1=CC=C(C=C1)C2=NC3=C(CC4=CC=CC=C4O3)C(=N2)SCC(=O)NC5=CC=C(C=C5)C(=O)O,Inactive,Low,1.18,QC'ed NCATS
24387037,16010509,CC(=O)N1CCC2=C(C1)SC3=C2C(=O)N(C(=O)N3CC(=O)C4=CC=CC=C4)C5=CC=CC=C5,Active,High,713.66,QC'ed NCATS
24389898,1243964,CN1C2=C(C=C(C=C2)NC(=O)C3=CC(=CC=C3)Br)N=C1CN4CCCCC4,Active,High,>1000,QC'ed NCATS
24391343,929965,CC1=CC=C(C=C1)C(=O)NC2=NC3=NC(=CC(=O)N3N2)C4=CC=CC=C4,Inconclusive,N/F,N/F,QC'ed NCATS
24391620,930029,CC1=CC=C(C=C1)C(=O)NC2=NC3=NC(=CC(=O)N3N2)C,Inactive,Low,1,QC'ed NCATS
24392740,16015034,CCOC(=O)N1CCN(CC1)CC2=NC3=C(N2C(C)C)C=CC(=C3)NC(=O)CC(C)C,Active,High,612.67,QC'ed NCATS
24395522,16017615,COC1=CC=CC(=C1)C(=O)NC2=NN=C(S2)S(=O)(=O)N3CCOCC3,Active,Moderate,19.19,QC'ed NCATS
24395768,16017831,CN1C=C(C=C1C(=O)NC2=CC(=C(C=C2)Cl)C(F)(F)F)S(=O)(=O)N3CCOCC3,Inconclusive,N/F,N/F,QC'ed NCATS
24395790,16017851,CC1=NN=C2N1C3=CC=CC=C3N=C2NC4=CC(=CC=C4)NC(=O)C,Active,High,265.61,QC'ed NCATS
24396121,16018174,CCN(CC)CCCNC(=O)C1=C(C2=C(O1)CCC3=CN(N=C32)CC4=CC=C(C=C4)Cl)C,Active,High,>1000,QC'ed NCATS
24396266,16018319,CCN(CC)CCCNC(=O)C1=CC2=C(C=C1)N3C=C(N=C3S2)C4=CC=C(C=C4)OCC,Active,High,>1000,QC'ed NCATS
24398907,16020562,CCN(CC)CCNC(=O)C1CCN(CC1)C2=NN3C=C(N=C3S2)C4=CC=C(C=C4)F,Active,High,>1000,QC'ed NCATS
24399781,16021425,CC1=CC(=CC=C1)OCC(=O)NC2=CC3=C(C=C2)N=C(C=C3C)NC4=CC(=CC=C4)Cl,Inconclusive,N/F,N/F,QC'ed NCATS
24401072,16022683,CC1=CC2=C(C=C1)C(=C(N2CC3=CC=C(C=C3)OC)C(=O)O)CNCC4=CC=CO4,Active,High,653.67,QC'ed NCATS
24401952,16023553,COCCNC1=C2C(=NOC2=NC=N1)C3=CC=C(C=C3)F,Active,High,458.15,QC'ed NCATS
24402926,16024507,CC1=NN(C2=C1C(=CC(=N2)C3CC3)C(=O)NC4=CC=C(C=C4)F)C5=CC=CC=C5,Inconclusive,N/F,N/F,QC'ed NCATS
24404118,16025678,CC(C)(C)C1=CC=C(C=C1)C2=NC3=CC(=O)NN3C(=N2)SCCCOC4=CC=CC=C4,Active,Moderate,10.1,QC'ed NCATS
24404134,16025693,CC1=C(N=NN1C2=CC=CC=C2C(F)(F)F)C3=NSC(=N3)NC(=O)C4=CC(=CC=C4)OC,Active,High,382.73,QC'ed NCATS
24404393,16025942,CC1=C(N=NN1C2=CC=CC=C2C(F)(F)F)C3=NSC(=N3)NC(=O)C4=CC(=CC=C4)Cl,Active,High,705.62,QC'ed NCATS
124892066,135410503,CC1=C(C(N2C(=NC=N2)N1)C3=CC=CN3)C(=O)NC4=CC=CC=C4,Active,Moderate,80,QC'ed NCATS
377677992,16029337,CCN(CCN(C)C)C(=O)C1CCN(CC1)S(=O)(=O)C2=C(ON=C2C)/C=C/C3=CC=CC=C3F,Active,High,>1000,QC'ed NCATS
24409549,135410529,CCS(=O)(=O)C1=CC=CC(=C1)C(=O)NC2=CC(=C(C=C2)C3=NC4=CC=CC=C4S3)O,Inconclusive,N/F,N/F,QC'ed NCATS
24410318,16031361,COC1=CC=C(C=C1)CNC(=O)CN2C(=O)C=C3CCCCC3=N2,Active,Moderate,40.62,QC'ed NCATS
24411547,4705986,CN(C)CCCN1C(C2=C(C1=O)OC3=C(C2=O)C=C(C=C3)Cl)C4=CC(=C(C=C4)OC)OC,Active,High,235.42,QC'ed NCATS
24412961,16033099,CC(=O)C1=CC=C(C=C1)N2CCN(CC2)C3=C(C=C(C=C3)NC(=O)C4=CC=C(C=C4)F)C(=O)O,Active,High,156.18,QC'ed NCATS
24412993,16033131,CC1=CC(=CC=C1)C(=O)NC2=CC(=C(C=C2)N3CCC(CC3)N4CCCCC4)C(=O)O,Inactive,Low,5.2,QC'ed NCATS
24412997,16033135,C1CCN(CC1)C2CCN(CC2)C3=C(C=C(C=C3)NC(=O)C4=CC=C(C=C4)Br)C(=O)O,Inactive,Low,1,QC'ed NCATS
24413059,16033196,CCCCNC(=O)CN1CCN(CC1)C2=C(C=C(C=N2)NC(=O)C3=CC=C(C=C3)Cl)C(=O)O,Inactive,Low,1,QC'ed NCATS
24414349,7205529,CC1=CC=C(C=C1)N2C3=NC=NC(=C3C=N2)NC4=CC(=C(C=C4)OC)Cl,Inconclusive,N/F,N/F,QC'ed NCATS
124892067,4190676,CCOC(=O)N1CCC2=C(C1)SC(=C2C(=O)NC3=CC=C(C=C3)OC)NCC4=CC=C(C=C4)N(C)C,Active,Moderate,58.54,QC'ed NCATS
24416244,5162647,C1=CC=C(C(=C1)C(=O)NC2=CC=C(C=C2)C3=NC4=C(O3)C=CC(=C4)NC(=O)C5=CC=CC=C5Cl)Cl,Active,High,175.86,QC'ed NCATS
24417378,1511198,CC1=C(C=C(C=C1)C2=NN3C(=NN=C3C4=CC=CC=C42)C)S(=O)(=O)NC,Active,High,146.44,QC'ed NCATS
29215522,9872740,C[C@H](CNC(C)(C)CC(=O)N[C@@H]1CCC2=CC=CC=C2N(C1=O)CC3=CC=C(C=C3)C4=CC=CC=C4C5=NNN=N5)O,Inactive,Low,1,QC'ed NCATS
124892236,9893924,C1=CC(=C(C=C1CN(CCCNC(=S)NCCCC2=CN=CN2)C3=NC=C(C=C3)Br)Cl)Cl,Active,Moderate,14,QC'ed NCATS
174007299,5516,CN(C)CCOC1=CC=C(C=C1)C(=C(CCCl)C2=CC=CC=C2)C3=CC=CC=C3,Inactive,Low,1,QC'ed NCATS
174007191,73265357,CCCNC(=O)[C@@H]1[C@@H](O1)C(=O)N[C@@H](C(C)CC)C(=O)N2CCC[C@@H]2C(=O)OC,Inconclusive,N/F,N/F,QC'ed NCATS
170465481,7547,C1=CC(=CC=C1NC(=O)NC2=CC(=C(C=C2)Cl)Cl)Cl,Active,High,240,QC'ed NCATS
170466562,18637,C1=C(OC(=C1)[N+](=O)[O-])C=NNC(=O)C(=O)N,Inactive,Low,7.99,QC'ed NCATS
170466637,71335,CN1C[C@@H]2C[C@H]1CN2C3=C(C=C4C(=C3)N(C=C(C4=O)C(=O)O)C5CC5)F,Inactive,Low,1,QC'ed NCATS
170465783,34001,C1CC(CCC1CN)C(=O)OC2=CC=C(C=C2)CCC(=O)O.Cl,Inconclusive,N/F,N/F,QC'ed NCATS
384568270,5329102,CCN(CC)CCNC(=O)C1=C(NC(=C1C)/C=C\2/C3=C(C=CC(=C3)F)NC2=O)C,Active,High,234.73,QC'ed NCATS
29217598,9860529,C1COCCN1C2=CC(=O)C3=C(O2)C4=CC=CC=C4C=C3,Active,High,294.22,QC'ed NCATS
170465557,37907,CC(C)(C)C(=O)C(N1C=CN=C1)OC2=CC=C(C=C2)Cl,Inconclusive,N/F,N/F,QC'ed NCATS
124893286,2377964,CN1C(=NN=N1)SC2=NC=NC3=C2C=CS3,Active,Moderate,67.58,QC'ed NCATS
170465365,2161,CC(C)C1=CC2=C(C=C1)OC3=NC(=C(C=C3C2=O)C(=O)O)N,Inactive,Low,9.71,QC'ed NCATS
170465617,3081361,CN1CCC(CC1)COC2=C(C=C3C(=C2)N=CN=C3NC4=C(C=C(C=C4)Br)F)OC,Inconclusive,N/F,N/F,QC'ed NCATS
170466345,122077,C1=CC=C2C(=C1)C=C(N2CC(=O)O)C(=O)NC3=NC(=CS3)C4=CC=CC=C4Cl,Active,Moderate,21.49,QC'ed NCATS
170465029,60196365,C1CN(CCN1CCOCC(=O)N)C(C2=CC=CC=C2)C3=CC=C(C=C3)Cl.Cl.Cl,Active,High,358.7,QC'ed NCATS
170465180,5311,C1=CC=C(C=C1)NC(=O)CCCCCCC(=O)NO,Active,Moderate,63.36,QC'ed NCATS
170466862,11219835,C1=CC=C(C(=C1)C2=NC(=NO2)C3=CC(=CC=C3)C(=O)O)F,Active,High,110.63,QC'ed NCATS
